 36.23 20.86 32.67 47.01 64.27 124.22
 46.52 31.52 51.23 51.36 69.00 131.94
 63.21 43.67 69.91 63.15 81.42 135.61
 66.73 68.57 88.42 72.10 81.91 138.91
 77.56 81.33 106.90 76.12 90.88 144.67
 89.49 89.80 125.35 79.60 92.24 148.69
 94.78 95.54 145.77 90.44 94.47 152.57
 98.67 109.54 164.42 103.88 97.86 156.93
 112.19 115.69 183.06 114.36 99.62 160.97
 117.48 124.67 201.64 119.24 112.78 162.51
 119.34 137.12 220.27 121.72 134.69 167.52
 126.14 151.01 239.21 130.50 139.43 173.79
 136.21 173.17 258.04 142.15 152.64 181.08
 147.66 177.88 277.38 145.04 162.15 189.05
 177.67 187.35 311.87 196.45 175.98 218.71
 187.97 200.13 346.73 197.71 197.65 222.31
 213.45 212.21 381.91 205.78 203.66 227.27
 226.38 219.63 417.33 220.75 208.06 235.86
 236.99 237.79 452.26 232.62 220.06 237.85
 247.98 243.22 487.00 245.47 226.21 239.10
 277.18 259.06 522.46 264.32 256.00 244.06
 287.82 281.84 557.33 287.25 261.07 249.93
 296.90 288.04 592.51 293.89 267.19 250.91
 307.68 314.28 628.82 317.33 282.96 253.52
 390.83 358.56 696.03 368.39 353.27 317.49
 413.70 397.52 765.22 385.60 369.32 321.41
 428.43 404.44 836.08 421.18 374.41 331.08
 433.81 439.51 905.16 442.01 391.43 338.53
 504.41 474.30 1005.35 523.48 438.70 381.17
 595.54 504.37 1146.15 540.10 467.50 411.25
