 114.74 113.06 148.10 119.05 105.64 131.10
 151.42 137.96 248.00 135.06 134.98 137.79
 186.81 147.75 316.46 158.04 157.97 150.58
 233.40 153.94 390.91 191.76 160.70 151.40
 241.24 182.87 464.77 225.90 214.02 154.59
 254.70 189.75 531.90 242.68 230.73 157.19
 266.91 215.43 567.14 253.22 233.39 161.62
 291.41 226.31 602.42 273.26 245.86 163.00
 303.48 236.90 637.19 299.20 255.92 163.31
 327.53 249.30 673.00 308.27 258.73 167.91
 336.70 262.91 707.58 322.60 271.48 179.40
 350.67 270.23 742.26 331.57 291.18 185.10
 354.43 279.55 776.71 346.94 295.06 192.03
 373.14 284.36 811.15 352.48 296.89 197.55
 383.41 288.72 845.70 360.01 311.93 207.34
 398.73 297.13 880.18 369.19 320.20 218.63
 405.84 302.35 898.68 376.24 324.81 224.87
 415.85 308.11 917.12 382.03 341.61 236.05
 426.37 315.56 935.64 395.83 352.48 237.88
 438.40 316.82 954.68 401.35 357.24 239.96
 450.23 329.37 973.12 412.28 358.75 246.84
 461.55 340.53 992.32 424.50 359.93 254.14
 468.65 348.24 1013.41 429.32 363.49 260.36
 470.30 355.14 1032.82 441.74 369.44 262.67
 480.34 364.07 1051.63 448.73 382.11 318.11
 491.61 378.12 1070.32 452.19 395.29 325.94
 492.17 378.61 1088.98 459.91 399.14 334.01
 494.03 399.15 1107.96 466.58 400.17 342.23
 510.03 411.63 1126.83 473.21 406.90 390.94
 513.55 412.95 1146.30 475.22 416.84 405.33
