 61.23 41.17 51.76 43.90
 156.62 96.64 78.36 82.42
 250.81 201.23 114.49 135.65
 303.35 242.60 169.88 213.13
 364.99 334.76 188.64 315.01
 533.40 381.31 271.30 444.35
 641.44 420.31 343.77 561.34
 703.88 547.24 480.34 619.95
 752.89 682.16 535.65 640.71
 782.88 759.60 631.67 690.37
 881.69 837.54 676.11 718.54
 976.28 863.76 737.17 816.42
 1023.66 958.98 855.28 861.74
 1243.59 1053.54 991.15 1044.48
 1385.20 1112.61 1031.27 1098.66
 1440.99 1188.10 1077.77 1141.30
 1512.56 1238.46 1162.07 1191.49
 1612.59 1362.94 1218.94 1222.80
 1746.70 1443.47 1383.70 1321.39
 2047.45 1471.34 1503.88 1504.71
 2216.58 1535.90 1619.99 1662.74
 2356.44 1580.06 1658.73 1703.11
 2422.03 1635.04 1717.24 1822.95
 2518.46 1748.45 1893.37 1964.83
 2600.04 1807.72 2008.31 2088.45
 2660.99 1993.68 2036.27 2148.58
 2812.91 2090.09 2075.98 2203.82
 2972.27 2125.47 2180.35 2312.23
 3008.27 2305.06 2234.98 2340.48
 3065.62 2375.02 2424.33 2386.61
