 64.86 78.39 79.58 42.45
 117.14 117.50 124.42 71.55
 179.10 179.25 189.11 111.64
 214.10 217.85 223.67 173.15
 264.90 261.10 262.07 204.46
 326.02 308.92 305.97 237.84
 386.88 353.83 360.16 274.11
 450.89 395.20 396.83 319.98
 501.72 445.66 446.41 355.04
 539.90 487.24 486.85 397.12
 604.30 517.72 524.41 433.28
 654.09 552.61 562.97 493.20
 702.58 606.18 619.22 532.10
 758.82 651.57 667.95 583.56
 872.11 716.40 732.99 649.61
 971.18 787.93 799.94 715.44
 1107.29 879.93 893.20 808.91
 1248.67 975.65 991.91 900.87
 1341.04 1050.96 1057.25 964.75
 1432.56 1118.02 1120.59 1032.01
 1567.65 1203.28 1222.92 1151.42
 1701.14 1299.53 1311.75 1236.58
 1783.05 1371.58 1380.13 1309.19
 1868.60 1465.33 1462.21 1380.18
 2063.80 1627.94 1623.40 1540.22
 2227.90 1793.92 1789.05 1704.34
 2469.14 1951.61 1940.15 1872.16
 2671.14 2116.64 2106.14 2037.75
 2969.10 2343.49 2332.55 2260.75
 3393.41 2649.46 2649.65 2572.97
