 38.53 27.20 33.44 65.80 55.52 141.56
 58.80 52.21 54.15 71.33 60.12 146.88
 80.28 66.42 81.21 87.77 72.22 157.84
 82.07 71.85 104.56 103.48 77.25 166.28
 91.01 88.36 141.36 108.76 85.36 168.05
 112.11 90.43 163.29 120.94 91.30 176.59
 119.69 123.58 188.88 149.15 102.38 190.83
 123.05 140.14 217.08 152.89 110.63 191.26
 142.91 142.73 240.52 177.18 117.72 196.51
 143.97 146.96 277.25 180.37 135.85 204.98
 153.17 185.19 299.49 189.18 147.20 215.59
 160.89 194.24 320.23 197.64 152.03 220.19
 181.27 214.05 360.66 209.78 160.91 226.08
 217.50 227.85 409.17 232.64 190.51 244.65
 234.48 246.58 445.58 293.49 202.21 252.49
 265.16 258.01 488.62 299.44 224.08 262.08
 313.08 292.85 556.18 315.02 230.62 268.82
 318.13 298.93 599.20 339.18 237.94 274.89
 330.33 303.52 666.30 354.58 254.32 279.63
 389.27 309.47 704.28 387.98 271.27 283.92
 402.16 351.17 774.34 407.00 277.47 286.02
 427.38 361.29 814.81 444.33 287.30 288.68
 455.67 392.31 861.99 489.56 295.15 289.12
 500.85 444.38 925.35 492.74 303.21 299.12
 535.23 501.32 1023.54 637.10 393.94 351.09
 607.71 536.70 1101.99 656.61 430.67 359.43
 620.56 574.54 1197.43 679.17 450.11 375.76
 656.45 596.19 1300.37 689.87 451.67 382.67
 712.15 620.00 1430.87 822.43 512.69 408.79
 794.62 684.69 1616.68 944.19 542.52 467.36
