 123.39 69.74 91.61 97.47
 200.12 130.71 138.29 161.36
 293.99 182.76 193.67 234.38
 367.25 225.50 247.47 295.62
 440.63 270.44 296.74 355.30
 514.13 324.81 338.91 410.88
 615.50 391.57 395.09 490.57
 697.56 436.88 441.38 553.37
 776.70 485.36 488.09 605.79
 850.21 539.03 533.19 660.06
 926.82 590.19 587.00 715.83
 1011.09 647.35 642.35 773.75
 1084.08 705.70 705.94 836.82
 1159.25 761.78 758.07 901.73
 1298.03 841.59 837.98 982.39
 1432.99 940.55 914.83 1059.70
 1574.07 1045.68 1015.33 1160.43
 1737.39 1128.79 1118.00 1264.85
 1866.41 1210.73 1196.20 1345.04
 1992.56 1298.04 1273.07 1423.30
 2146.61 1406.35 1373.86 1522.35
 2307.44 1490.51 1471.94 1628.27
 2438.50 1566.75 1548.89 1709.53
 2587.08 1670.25 1649.90 1813.25
 2869.80 1842.20 1819.69 1984.26
 3144.35 2017.17 1993.37 2157.65
 3420.05 2187.40 2154.97 2320.35
 3705.11 2365.18 2331.74 2497.04
 4103.44 2596.05 2567.10 2728.13
 4648.23 2918.96 2890.34 3048.24
