 315.17 322.50 324.63 315.99
 507.87 516.85 518.98 512.30
 639.92 641.53 644.32 644.09
 773.14 791.01 792.91 800.22
 932.99 951.43 954.10 955.07
 1063.51 1074.35 1079.71 1086.38
 1133.53 1147.66 1152.58 1151.05
 1183.98 1193.07 1197.87 1213.03
 1255.14 1265.45 1270.13 1272.80
 1314.72 1345.81 1356.75 1345.18
 1378.48 1406.82 1417.71 1413.11
 1459.76 1490.02 1499.08 1491.44
 1519.05 1548.79 1559.41 1545.77
 1578.22 1605.86 1616.14 1610.99
 1666.67 1695.21 1702.60 1698.43
 1721.70 1752.67 1761.31 1765.14
 1748.76 1778.91 1787.48 1787.52
 1783.17 1808.29 1817.21 1811.96
 1832.80 1837.01 1845.49 1839.80
 1872.28 1870.10 1878.97 1877.39
 1922.58 1920.13 1924.75 1919.96
 1969.70 1956.81 1965.51 1963.38
 2018.06 2000.20 2007.79 1998.04
 2053.82 2037.90 2043.19 2031.88
 2085.25 2071.26 2080.63 2060.68
 2118.57 2099.75 2106.04 2091.52
 2150.34 2130.47 2138.10 2123.49
 2185.83 2168.37 2172.96 2159.78
 2232.47 2211.82 2241.56 2197.10
 2270.57 2255.63 2285.19 2241.56
