 114.74 113.06 148.10 119.05 105.64 131.10  315.17 322.50 324.63 315.99
 151.42 137.96 248.00 135.06 134.98 137.79  507.87 516.85 518.98 512.30
 186.81 147.75 316.46 158.04 157.97 150.58  639.92 641.53 644.32 644.09
 233.40 153.94 390.91 191.76 160.70 151.40  773.14 791.01 792.91 800.22
 241.24 182.87 464.77 225.90 214.02 154.59  932.99 951.43 954.10 955.07
 254.70 189.75 531.90 242.68 230.73 157.19  1063.51 1074.35 1079.71 1086.38
 266.91 215.43 567.14 253.22 233.39 161.62  1133.53 1147.66 1152.58 1151.05
 291.41 226.31 602.42 273.26 245.86 163.00  1183.98 1193.07 1197.87 1213.03
 303.48 236.90 637.19 299.20 255.92 163.31  1255.14 1265.45 1270.13 1272.80
 327.53 249.30 673.00 308.27 258.73 167.91  1314.72 1345.81 1356.75 1345.18
 336.70 262.91 707.58 322.60 271.48 179.40  1378.48 1406.82 1417.71 1413.11
 350.67 270.23 742.26 331.57 291.18 185.10  1459.76 1490.02 1499.08 1491.44
 354.43 279.55 776.71 346.94 295.06 192.03  1519.05 1548.79 1559.41 1545.77
 373.14 284.36 811.15 352.48 296.89 197.55  1578.22 1605.86 1616.14 1610.99
 383.41 288.72 845.70 360.01 311.93 207.34  1666.67 1695.21 1702.60 1698.43
 398.73 297.13 880.18 369.19 320.20 218.63  1721.70 1752.67 1761.31 1765.14
 405.84 302.35 898.68 376.24 324.81 224.87  1748.76 1778.91 1787.48 1787.52
 415.85 308.11 917.12 382.03 341.61 236.05  1783.17 1808.29 1817.21 1811.96
 426.37 315.56 935.64 395.83 352.48 237.88  1832.80 1837.01 1845.49 1839.80
 438.40 316.82 954.68 401.35 357.24 239.96  1872.28 1870.10 1878.97 1877.39
 450.23 329.37 973.12 412.28 358.75 246.84  1922.58 1920.13 1924.75 1919.96
 461.55 340.53 992.32 424.50 359.93 254.14  1969.70 1956.81 1965.51 1963.38
 468.65 348.24 1013.41 429.32 363.49 260.36  2018.06 2000.20 2007.79 1998.04
 470.30 355.14 1032.82 441.74 369.44 262.67  2053.82 2037.90 2043.19 2031.88
 480.34 364.07 1051.63 448.73 382.11 318.11  2085.25 2071.26 2080.63 2060.68
 491.61 378.12 1070.32 452.19 395.29 325.94  2118.57 2099.75 2106.04 2091.52
 492.17 378.61 1088.98 459.91 399.14 334.01  2150.34 2130.47 2138.10 2123.49
 494.03 399.15 1107.96 466.58 400.17 342.23  2185.83 2168.37 2172.96 2159.78
 510.03 411.63 1126.83 473.21 406.90 390.94  2232.47 2211.82 2241.56 2197.10
 513.55 412.95 1146.30 475.22 416.84 405.33  2270.57 2255.63 2285.19 2241.56
