 33.53 33.85 38.35 68.94 96.74 152.82
 60.87 80.40 56.89 86.74 106.62 159.90
 79.80 86.56 103.00 95.19 111.89 162.49
 116.45 101.33 159.95 122.44 154.30 167.70
 121.89 126.45 179.20 146.61 159.43 171.65
 147.01 142.14 264.97 200.21 179.28 173.98
 170.72 151.98 335.33 208.67 223.82 177.58
 212.74 153.13 443.76 241.85 236.12 187.26
 219.28 189.57 462.32 275.52 256.73 189.27
 302.00 209.38 548.70 293.84 264.80 193.46
 304.05 218.23 577.17 314.85 290.68 197.47
 314.11 218.92 622.95 346.48 322.04 206.61
 319.62 252.86 665.66 369.98 333.41 210.69
 330.09 283.40 687.32 386.55 345.23 215.02
 363.51 303.60 739.69 420.64 349.05 243.22
 403.67 323.07 795.82 453.15 369.25 257.25
 424.60 332.81 822.73 499.76 384.45 261.14
 439.05 342.29 947.22 503.85 415.09 270.58
 452.98 349.20 1003.03 504.49 426.73 275.61
 482.71 365.81 1046.28 524.53 459.27 281.20
 505.17 381.53 1110.65 561.64 462.25 283.45
 554.50 384.86 1138.27 600.72 500.72 288.30
 567.70 402.46 1175.87 642.34 508.08 302.77
 601.99 413.17 1231.87 655.46 518.19 307.49
 635.98 450.77 1250.44 685.18 527.82 343.56
 695.91 463.36 1277.66 719.66 533.30 362.56
 710.72 494.45 1358.88 746.50 571.68 387.99
 714.31 534.10 1403.73 782.85 635.06 414.73
 782.35 583.68 1458.62 834.81 638.50 442.78
 854.72 617.66 1493.63 928.52 678.11 492.91
