 38.53 27.20 33.44 55.82 40.32 42.07 55.52 141.56
 58.80 52.21 54.15 60.72 42.54 45.70 60.12 146.88
 80.28 66.42 81.21 63.58 71.50 63.30 72.22 157.84
 82.07 71.85 104.56 71.98 78.89 80.92 77.25 166.28
 91.01 88.36 141.36 76.17 89.77 83.95 85.36 168.05
 112.11 90.43 163.29 93.97 92.87 93.49 91.30 176.59
 119.69 123.58 188.88 100.09 102.38 95.38 102.38 190.83
 123.05 140.14 217.08 111.25 104.46 100.51 110.63 191.26
 142.91 142.73 240.52 121.86 106.72 112.37 117.72 196.51
 143.97 146.96 277.25 140.00 124.42 128.59 135.85 204.98
 153.17 185.19 299.49 145.57 155.29 158.83 147.20 215.59
 160.89 194.24 320.23 167.18 167.45 161.68 152.03 220.19
 181.27 214.05 360.66 173.28 175.37 174.07 160.91 226.08
 217.50 227.85 409.17 189.62 185.30 179.51 190.51 244.65
 234.48 246.58 445.58 223.13 204.49 204.92 202.21 252.49
 265.16 258.01 488.62 229.55 241.35 223.98 224.08 262.08
 313.08 292.85 556.18 235.95 257.10 242.36 230.62 268.82
 318.13 298.93 599.20 272.96 261.11 264.29 237.94 274.89
 330.33 303.52 666.30 297.57 263.67 282.75 254.32 279.63
 389.27 309.47 704.28 306.27 287.05 285.74 271.27 283.92
 402.16 351.17 774.34 312.94 311.31 301.68 277.47 286.02
 427.38 361.29 814.81 365.94 366.96 314.50 287.30 288.68
 455.67 392.31 861.99 372.71 379.18 348.56 295.15 289.12
 500.85 444.38 925.35 410.70 398.84 372.44 303.21 299.12
 535.23 501.32 1023.54 419.36 466.41 483.20 393.94 351.09
 607.71 536.70 1101.99 519.84 484.60 496.37 430.67 359.43
 620.56 574.54 1197.43 540.46 499.43 499.01 450.11 375.76
 656.45 596.19 1300.37 555.83 555.05 505.57 451.67 382.67
 712.15 620.00 1430.87 644.11 601.10 588.14 512.69 408.79
 794.62 684.69 1616.68 700.75 653.85 612.04 542.52 467.36
