 111.37 74.39 151.81 102.26
 214.96 125.82 197.72 161.45
 380.11 171.80 255.16 272.47
 490.11 232.99 346.24 393.25
 561.68 275.70 471.26 452.80
 909.80 323.40 571.93 556.11
 1120.13 370.52 647.85 612.56
 1303.14 443.81 691.89 711.29
 1504.94 518.94 811.88 771.02
 1597.75 596.88 904.67 826.35
 2018.30 693.16 1001.65 901.61
 2110.11 761.99 1065.17 1093.98
 2183.91 852.35 1267.28 1163.15
 2284.68 983.62 1455.31 1226.05
 2349.57 1073.70 1501.89 1333.41
 2419.05 1269.23 1556.63 1404.73
 2494.83 1395.55 1603.55 1550.25
 2694.90 1490.32 1665.36 1625.97
 2810.33 1685.00 1801.21 1784.35
 2881.32 1744.14 1846.91 1856.27
 3203.22 1848.47 1896.14 1926.33
 3354.66 1999.49 1958.56 1989.08
 3464.30 2118.59 2107.11 2115.40
 3562.53 2311.19 2184.44 2348.59
 3664.02 2422.19 2260.60 2405.75
 3887.56 2470.23 2331.97 2476.98
 3995.06 2531.93 2394.83 2605.87
 4173.09 2590.31 2449.32 2668.67
 4306.06 2639.73 2527.35 2781.47
 4418.18 2714.62 2733.46 2853.00
