 50.37 34.53 42.73 54.68 70.57 102.70  68.37 78.69 72.54 64.14
 58.12 49.36 66.78 63.84 80.75 132.31  114.76 117.29 110.87 103.26
 73.32 76.87 91.27 79.06 92.91 153.62  175.64 169.16 162.30 154.94
 80.96 81.13 116.21 81.82 97.62 157.62  218.77 215.34 206.17 200.69
 88.51 83.28 140.78 92.13 103.55 167.03  265.21 259.37 251.83 244.97
 97.22 108.39 166.66 106.62 107.83 172.34  302.83 293.91 282.76 281.05
 109.88 112.89 193.63 109.55 111.87 172.66  365.19 345.22 332.56 333.77
 124.66 129.37 219.65 120.94 113.74 174.03  412.63 390.43 382.11 377.71
 128.04 142.35 244.93 124.78 120.39 175.32  459.82 434.67 422.76 424.68
 134.14 159.35 269.66 134.49 126.35 177.89  507.16 473.65 458.41 457.73
 136.61 163.43 295.16 141.33 147.34 182.03  553.05 513.09 494.57 494.70
 143.89 189.35 318.91 154.28 171.01 187.79  598.70 558.23 536.59 531.03
 157.52 195.64 342.72 155.11 187.30 189.28  653.64 598.43 585.09 587.20
 165.51 250.60 366.67 160.27 192.66 196.12  703.23 649.26 633.03 639.76
 221.24 262.55 405.66 227.23 224.63 228.33  784.12 718.79 698.71 707.46
 235.60 300.67 444.62 230.33 242.06 242.98  869.96 782.09 761.88 771.69
 259.76 328.73 487.13 246.57 247.17 250.03  962.44 878.04 857.96 865.14
 262.51 333.77 528.53 256.52 256.24 254.26  1056.51 971.61 941.07 961.83
 279.39 360.24 574.51 260.35 257.11 259.39  1137.71 1037.62 1006.83 1027.89
 322.16 371.04 616.32 301.02 268.36 266.04  1227.66 1100.85 1069.60 1091.51
 336.33 385.64 659.39 325.85 277.32 269.08  1325.99 1190.00 1161.80 1186.24
 367.20 414.18 699.84 330.06 306.53 278.72  1416.38 1276.13 1252.37 1276.24
 372.15 434.67 744.03 332.89 315.95 282.80  1500.43 1341.73 1314.49 1343.08
 425.25 494.20 788.03 365.43 329.35 293.97  1580.18 1436.35 1399.84 1429.84
 484.09 537.49 865.05 474.34 425.13 340.42  1765.26 1597.90 1558.17 1588.88
 487.52 553.53 940.03 486.91 428.16 354.45  1955.73 1761.17 1721.36 1750.38
 519.53 566.40 1021.48 495.38 446.17 359.65  2124.10 1916.65 1880.62 1903.01
 601.84 679.70 1098.38 515.57 458.89 361.33  2307.70 2083.27 2047.61 2068.68
 683.58 757.05 1203.55 578.86 502.64 417.52  2567.10 2308.09 2274.33 2289.65
 727.02 827.82 1357.35 659.50 549.74 463.97  2928.19 2623.34 2590.18 2603.40
