 36.23 20.86 32.67 47.01 64.27 124.22  55.02 58.49 59.22 78.72
 46.52 31.52 51.23 51.36 69.00 131.94  90.63 89.80 95.11 107.62
 63.21 43.67 69.91 63.15 81.42 135.61  126.31 136.04 144.62 145.95
 66.73 68.57 88.42 72.10 81.91 138.91  162.09 179.39 187.78 177.65
 77.56 81.33 106.90 76.12 90.88 144.67  185.59 218.46 226.41 211.05
 89.49 89.80 125.35 79.60 92.24 148.69  211.22 248.04 255.37 241.75
 94.78 95.54 145.77 90.44 94.47 152.57  249.33 294.16 300.68 290.07
 98.67 109.54 164.42 103.88 97.86 156.93  289.19 334.38 341.58 329.07
 112.19 115.69 183.06 114.36 99.62 160.97  317.63 370.50 382.26 359.15
 117.48 124.67 201.64 119.24 112.78 162.51  345.82 396.56 413.80 397.07
 119.34 137.12 220.27 121.72 134.69 167.52  377.02 429.07 446.36 428.22
 126.14 151.01 239.21 130.50 139.43 173.79  413.93 462.65 479.32 472.11
 136.21 173.17 258.04 142.15 152.64 181.08  459.05 507.24 527.68 516.26
 147.66 177.88 277.38 145.04 162.15 189.05  501.69 550.23 570.64 553.76
 177.67 187.35 311.87 196.45 175.98 218.71  564.14 611.26 635.53 612.81
 187.97 200.13 346.73 197.71 197.65 222.31  622.49 668.49 694.20 679.54
 213.45 212.21 381.91 205.78 203.66 227.27  712.48 758.15 784.91 764.36
 226.38 219.63 417.33 220.75 208.06 235.86  787.26 842.19 871.73 850.34
 236.99 237.79 452.26 232.62 220.06 237.85  848.37 901.94 932.93 906.85
 247.98 243.22 487.00 245.47 226.21 239.10  908.46 962.49 991.12 967.35
 277.18 259.06 522.46 264.32 256.00 244.06  996.10 1050.31 1076.16 1054.11
 287.82 281.84 557.33 287.25 261.07 249.93  1072.03 1134.52 1159.82 1138.74
 296.90 288.04 592.51 293.89 267.19 250.91  1130.90 1193.63 1225.77 1205.60
 307.68 314.28 628.82 317.33 282.96 253.52  1199.09 1271.19 1308.83 1292.88
 390.83 358.56 696.03 368.39 353.27 317.49  1354.42 1452.84 1466.02 1446.45
 413.70 397.52 765.22 385.60 369.32 321.41  1510.18 1615.26 1624.06 1604.74
 428.43 404.44 836.08 421.18 374.41 331.08  1644.19 1767.43 1768.89 1768.26
 433.81 439.51 905.16 442.01 391.43 338.53  1798.80 1925.59 1932.47 1929.06
 504.41 474.30 1005.35 523.48 438.70 381.17  2014.07 2149.15 2151.44 2147.88
 595.54 504.37 1146.15 540.10 467.50 411.25  2309.64 2460.63 2456.01 2459.40
