 67.14 40.86 121.69 43.35
 174.34 122.08 158.71 65.07
 208.65 175.28 199.26 155.38
 229.65 269.24 286.48 187.88
 311.60 288.92 362.51 298.48
 359.35 361.60 380.21 337.63
 449.28 405.96 424.72 363.55
 471.25 437.07 459.92 408.56
 511.41 603.89 569.56 515.48
 556.80 715.63 611.44 558.06
 676.36 740.60 663.67 596.48
 786.20 853.25 897.73 633.40
 864.67 896.82 1012.29 689.93
 927.69 943.83 1046.39 799.91
 960.08 977.71 1073.21 859.43
 1047.02 1022.76 1108.86 908.44
 1220.36 1084.98 1133.90 947.73
 1272.06 1148.64 1309.21 1107.44
 1347.73 1184.81 1396.74 1228.99
 1443.67 1275.86 1499.22 1302.06
 1536.21 1363.47 1613.03 1343.91
 1573.84 1402.85 1666.70 1377.72
 1595.36 1535.31 1694.01 1551.30
 1647.02 1576.64 1747.04 1627.24
 1685.51 1687.02 1776.37 1731.33
 1741.57 1882.74 1894.91 1849.64
 1974.66 1987.26 1920.65 1898.39
 2015.87 2033.15 1980.47 2094.05
 2060.83 2077.27 2038.40 2138.38
 2092.66 2135.73 2072.83 2178.27
