 50.37 34.53 42.73 54.68 70.57 102.70
 58.12 49.36 66.78 63.84 80.75 132.31
 73.32 76.87 91.27 79.06 92.91 153.62
 80.96 81.13 116.21 81.82 97.62 157.62
 88.51 83.28 140.78 92.13 103.55 167.03
 97.22 108.39 166.66 106.62 107.83 172.34
 109.88 112.89 193.63 109.55 111.87 172.66
 124.66 129.37 219.65 120.94 113.74 174.03
 128.04 142.35 244.93 124.78 120.39 175.32
 134.14 159.35 269.66 134.49 126.35 177.89
 136.61 163.43 295.16 141.33 147.34 182.03
 143.89 189.35 318.91 154.28 171.01 187.79
 157.52 195.64 342.72 155.11 187.30 189.28
 165.51 250.60 366.67 160.27 192.66 196.12
 221.24 262.55 405.66 227.23 224.63 228.33
 235.60 300.67 444.62 230.33 242.06 242.98
 259.76 328.73 487.13 246.57 247.17 250.03
 262.51 333.77 528.53 256.52 256.24 254.26
 279.39 360.24 574.51 260.35 257.11 259.39
 322.16 371.04 616.32 301.02 268.36 266.04
 336.33 385.64 659.39 325.85 277.32 269.08
 367.20 414.18 699.84 330.06 306.53 278.72
 372.15 434.67 744.03 332.89 315.95 282.80
 425.25 494.20 788.03 365.43 329.35 293.97
 484.09 537.49 865.05 474.34 425.13 340.42
 487.52 553.53 940.03 486.91 428.16 354.45
 519.53 566.40 1021.48 495.38 446.17 359.65
 601.84 679.70 1098.38 515.57 458.89 361.33
 683.58 757.05 1203.55 578.86 502.64 417.52
 727.02 827.82 1357.35 659.50 549.74 463.97
