 33.53 33.85 38.35 64.55 64.55 51.05 96.74 152.82
 60.87 80.40 56.89 75.06 86.89 56.85 106.62 159.90
 79.80 86.56 103.00 96.44 98.06 65.70 111.89 162.49
 116.45 101.33 159.95 104.74 120.07 71.92 154.30 167.70
 121.89 126.45 179.20 118.48 151.83 123.37 159.43 171.65
 147.01 142.14 264.97 119.79 156.54 131.96 179.28 173.98
 170.72 151.98 335.33 162.15 173.56 151.77 223.82 177.58
 212.74 153.13 443.76 167.61 187.09 167.36 236.12 187.26
 219.28 189.57 462.32 194.12 198.62 185.82 256.73 189.27
 302.00 209.38 548.70 206.40 211.58 207.61 264.80 193.46
 304.05 218.23 577.17 226.35 216.59 221.91 290.68 197.47
 314.11 218.92 622.95 235.08 238.76 230.86 322.04 206.61
 319.62 252.86 665.66 262.43 256.10 238.17 333.41 210.69
 330.09 283.40 687.32 276.85 299.75 270.17 345.23 215.02
 363.51 303.60 739.69 369.73 310.84 276.59 349.05 243.22
 403.67 323.07 795.82 395.23 315.44 308.56 369.25 257.25
 424.60 332.81 822.73 403.80 348.43 324.51 384.45 261.14
 439.05 342.29 947.22 407.80 379.25 335.16 415.09 270.58
 452.98 349.20 1003.03 437.10 407.15 343.09 426.73 275.61
 482.71 365.81 1046.28 456.98 412.06 379.23 459.27 281.20
 505.17 381.53 1110.65 504.80 465.82 390.63 462.25 283.45
 554.50 384.86 1138.27 512.99 468.62 399.52 500.72 288.30
 567.70 402.46 1175.87 539.84 478.10 414.76 508.08 302.77
 601.99 413.17 1231.87 569.05 488.32 447.92 518.19 307.49
 635.98 450.77 1250.44 593.39 509.75 463.29 527.82 343.56
 695.91 463.36 1277.66 607.03 513.41 470.57 533.30 362.56
 710.72 494.45 1358.88 624.59 521.72 485.75 571.68 387.99
 714.31 534.10 1403.73 636.46 524.92 491.56 635.06 414.73
 782.35 583.68 1458.62 650.29 556.57 507.60 638.50 442.78
 854.72 617.66 1493.63 662.72 605.57 567.89 678.11 492.91
