 210.20 240.84 337.61 261.79 193.20 214.10
 218.40 249.58 567.03 294.17 222.16 246.39
 287.84 272.84 725.35 323.32 239.01 254.18
 293.68 276.64 902.13 442.85 255.76 256.21
 312.53 328.41 1058.43 448.08 351.44 268.66
 382.43 370.03 1222.67 469.53 368.95 270.86
 422.89 398.32 1312.21 550.52 384.54 281.42
 457.79 403.20 1398.23 570.77 392.33 287.49
 481.56 424.37 1487.53 589.16 395.79 289.12
 545.78 450.15 1577.84 612.06 417.32 291.48
 565.99 505.75 1667.52 654.42 428.94 294.72
 600.98 522.26 1752.17 668.18 459.03 297.45
 630.44 546.60 1845.49 675.12 476.59 301.75
 654.03 604.29 1929.21 706.75 489.89 337.89
 682.85 614.46 2016.29 728.48 506.11 358.72
 716.08 621.62 2098.86 754.31 531.37 380.82
 732.63 624.95 2149.19 772.04 535.35 384.22
 739.97 643.68 2197.37 783.83 548.36 394.26
 764.96 667.82 2247.37 803.47 554.89 399.69
 778.82 673.19 2294.63 816.99 568.84 405.88
 793.92 688.58 2342.23 842.34 577.54 409.37
 827.25 705.49 2391.02 856.91 579.08 413.71
 831.53 712.58 2443.78 861.43 598.87 419.10
 851.74 713.73 2495.35 870.97 608.38 441.66
 868.33 735.60 2546.89 877.19 620.72 523.42
 870.40 744.59 2597.35 896.46 643.81 535.78
 889.61 753.06 2650.64 912.70 647.26 549.68
 910.76 765.93 2701.36 919.06 647.80 571.97
 918.90 778.08 2753.82 925.71 661.34 666.65
 925.13 794.90 2804.70 928.29 722.08 732.59
