 132.18 124.65 81.27 88.73 99.68 211.94
 146.31 142.31 149.13 134.32 104.78 232.08
 148.73 158.59 254.01 136.96 118.43 238.90
 165.94 177.91 374.29 152.17 125.53 246.41
 173.23 192.38 425.14 177.77 133.64 254.43
 192.02 197.68 492.37 213.31 137.69 258.82
 213.15 221.82 613.15 223.71 150.57 261.97
 227.70 268.41 683.15 257.18 188.35 269.80
 229.99 325.06 752.21 311.67 208.48 280.22
 337.62 372.46 801.83 319.54 263.39 281.21
 349.06 399.01 867.39 332.07 288.96 284.40
 381.75 433.31 935.48 343.72 304.61 291.39
 422.95 449.51 1035.78 377.45 309.94 297.81
 437.08 486.61 1124.25 400.63 331.46 306.12
 446.63 521.21 1235.22 456.41 369.82 353.71
 514.38 548.12 1315.15 496.59 381.65 382.77
 533.46 566.06 1445.94 520.05 398.18 383.63
 561.84 591.39 1564.45 566.51 423.23 392.60
 590.99 618.57 1615.37 626.91 444.69 393.72
 614.44 646.39 1686.50 659.36 451.29 397.70
 630.60 660.28 1739.07 700.80 487.43 401.77
 684.09 672.71 1843.51 731.85 497.28 408.55
 715.73 683.47 1908.39 747.27 531.40 420.88
 720.52 704.68 2114.14 821.84 545.46 437.61
 804.64 717.56 2257.73 851.56 567.22 509.41
 854.39 761.40 2324.75 881.49 585.75 523.80
 890.53 772.32 2378.46 892.71 613.66 563.10
 932.46 807.02 2451.85 950.93 666.25 577.09
 961.57 829.89 2668.02 965.05 749.45 659.94
 1045.55 911.83 2736.07 1000.69 791.76 726.67
