 63.59 79.73 55.55 60.82 64.04 145.77
 80.61 87.62 129.56 68.72 80.30 155.03
 99.08 105.86 161.23 88.50 86.56 160.51
 106.24 120.24 203.74 105.33 100.30 165.83
 110.89 129.07 234.97 118.12 116.10 167.16
 112.36 137.50 274.99 141.76 143.56 171.98
 131.82 139.68 307.45 170.99 152.18 177.37
 138.03 151.96 340.48 188.96 158.11 181.20
 151.45 161.57 406.03 222.84 169.89 184.53
 177.08 183.25 498.80 256.87 192.31 186.80
 220.37 200.06 549.24 293.29 202.76 203.92
 236.83 210.01 572.94 301.12 211.59 207.36
 262.81 238.26 621.63 343.72 237.53 211.51
 293.31 254.18 657.46 357.93 240.66 215.07
 343.89 270.24 721.54 380.01 263.98 237.81
 361.47 297.32 746.79 400.46 267.22 246.66
 406.30 333.38 778.66 403.28 274.45 259.71
 421.89 347.07 813.07 414.60 288.24 262.72
 435.29 358.70 836.50 437.83 310.91 266.41
 465.99 388.28 870.12 444.86 325.04 268.30
 480.01 418.17 903.17 466.59 330.90 271.71
 506.05 430.12 927.38 480.45 338.71 279.57
 528.17 437.43 969.32 489.85 349.78 284.73
 534.86 450.26 1018.29 509.05 356.79 290.92
 549.99 458.78 1070.29 527.93 368.74 352.44
 563.56 471.31 1095.69 554.45 378.05 361.19
 594.02 486.69 1204.15 555.11 415.74 365.18
 662.25 512.69 1229.35 567.46 423.37 381.87
 669.57 525.91 1264.70 583.49 460.53 427.19
 725.84 588.57 1324.39 613.33 489.44 461.04
