 68.37 78.69 72.54 64.14
 114.76 117.29 110.87 103.26
 175.64 169.16 162.30 154.94
 218.77 215.34 206.17 200.69
 265.21 259.37 251.83 244.97
 302.83 293.91 282.76 281.05
 365.19 345.22 332.56 333.77
 412.63 390.43 382.11 377.71
 459.82 434.67 422.76 424.68
 507.16 473.65 458.41 457.73
 553.05 513.09 494.57 494.70
 598.70 558.23 536.59 531.03
 653.64 598.43 585.09 587.20
 703.23 649.26 633.03 639.76
 784.12 718.79 698.71 707.46
 869.96 782.09 761.88 771.69
 962.44 878.04 857.96 865.14
 1056.51 971.61 941.07 961.83
 1137.71 1037.62 1006.83 1027.89
 1227.66 1100.85 1069.60 1091.51
 1325.99 1190.00 1161.80 1186.24
 1416.38 1276.13 1252.37 1276.24
 1500.43 1341.73 1314.49 1343.08
 1580.18 1436.35 1399.84 1429.84
 1765.26 1597.90 1558.17 1588.88
 1955.73 1761.17 1721.36 1750.38
 2124.10 1916.65 1880.62 1903.01
 2307.70 2083.27 2047.61 2068.68
 2567.10 2308.09 2274.33 2289.65
 2928.19 2623.34 2590.18 2603.40
