 63.59 79.73 55.55 60.82 64.04 145.77  83.22 69.85 43.41 50.08
 80.61 87.62 129.56 68.72 80.30 155.03  157.88 201.73 70.65 102.25
 99.08 105.86 161.23 88.50 86.56 160.51  200.14 381.15 126.56 300.47
 106.24 120.24 203.74 105.33 100.30 165.83  254.53 537.08 153.59 483.17
 110.89 129.07 234.97 118.12 116.10 167.16  302.27 574.17 208.37 547.68
 112.36 137.50 274.99 141.76 143.56 171.98  406.91 618.65 235.26 627.62
 131.82 139.68 307.45 170.99 152.18 177.37  544.88 651.46 418.68 654.70
 138.03 151.96 340.48 188.96 158.11 181.20  586.59 681.46 498.84 753.06
 151.45 161.57 406.03 222.84 169.89 184.53  746.58 762.98 593.10 854.56
 177.08 183.25 498.80 256.87 192.31 186.80  787.40 801.56 679.61 881.81
 220.37 200.06 549.24 293.29 202.76 203.92  932.18 900.29 727.47 942.02
 236.83 210.01 572.94 301.12 211.59 207.36  999.24 971.75 900.51 981.35
 262.81 238.26 621.63 343.72 237.53 211.51  1108.98 1085.91 956.93 1007.16
 293.31 254.18 657.46 357.93 240.66 215.07  1160.27 1113.85 1134.03 1076.68
 343.89 270.24 721.54 380.01 263.98 237.81  1361.39 1153.42 1231.22 1186.68
 361.47 297.32 746.79 400.46 267.22 246.66  1428.17 1204.07 1278.56 1383.28
 406.30 333.38 778.66 403.28 274.45 259.71  1500.99 1250.52 1331.37 1436.48
 421.89 347.07 813.07 414.60 288.24 262.72  1587.94 1304.04 1418.61 1476.91
 435.29 358.70 836.50 437.83 310.91 266.41  1703.30 1477.46 1474.94 1516.57
 465.99 388.28 870.12 444.86 325.04 268.30  1786.43 1675.08 1520.60 1582.16
 480.01 418.17 903.17 466.59 330.90 271.71  1863.44 1791.39 1589.10 1674.27
 506.05 430.12 927.38 480.45 338.71 279.57  1974.64 1855.60 1626.02 1727.88
 528.17 437.43 969.32 489.85 349.78 284.73  2018.61 1918.31 1775.65 1906.23
 534.86 450.26 1018.29 509.05 356.79 290.92  2059.59 1971.13 1844.64 1965.53
 549.99 458.78 1070.29 527.93 368.74 352.44  2216.60 2014.63 1885.67 2028.37
 563.56 471.31 1095.69 554.45 378.05 361.19  2429.42 2064.42 1989.21 2065.12
 594.02 486.69 1204.15 555.11 415.74 365.18  2611.96 2111.07 2057.62 2149.84
 662.25 512.69 1229.35 567.46 423.37 381.87  2690.78 2236.80 2101.87 2221.55
 669.57 525.91 1264.70 583.49 460.53 427.19  2756.80 2264.60 2130.54 2319.45
 725.84 588.57 1324.39 613.33 489.44 461.04  2808.19 2294.99 2272.54 2353.47
