 157.74 170.03 168.79 183.10 106.92 125.74
 181.31 173.95 275.12 184.55 133.61 139.72
 213.23 183.15 356.03 202.04 154.08 153.26
 249.86 185.36 430.82 271.53 162.89 158.84
 279.17 187.60 518.02 284.33 204.38 173.08
 292.21 204.06 589.69 286.99 236.54 175.92
 324.45 233.02 637.23 336.60 253.06 188.75
 339.21 249.48 677.25 344.03 259.85 190.21
 381.45 255.49 716.36 355.59 267.98 190.88
 391.45 296.36 759.60 386.51 283.15 198.04
 417.44 302.83 801.26 400.99 295.95 200.50
 429.68 313.17 843.23 410.79 312.23 204.78
 460.21 335.25 885.78 414.39 316.51 207.46
 467.36 338.64 932.47 431.95 321.82 214.31
 506.38 361.92 971.78 461.95 326.17 228.66
 514.20 387.54 1013.56 468.99 331.21 236.20
 515.57 389.70 1039.26 479.70 354.73 254.53
 524.22 394.27 1064.05 482.60 360.12 260.39
 544.29 428.33 1087.50 496.53 362.20 266.26
 548.75 437.79 1110.80 522.50 369.46 267.99
 554.25 449.99 1134.49 525.68 379.11 272.69
 565.07 454.34 1158.32 535.97 388.87 273.26
 578.37 464.87 1185.00 539.21 397.54 280.43
 589.31 482.35 1209.61 544.30 404.52 295.16
 597.25 492.83 1232.57 557.47 407.75 354.52
 602.75 500.30 1256.31 563.01 420.44 361.41
 614.10 517.13 1279.80 567.12 427.66 367.37
 618.67 538.70 1303.41 571.76 432.72 378.07
 627.46 567.88 1328.23 576.06 433.48 415.99
 632.98 577.07 1351.74 584.16 481.36 466.90
